Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
41,"Sunday, May 12",boxscore,SEA,,OAK,W,8,4,,22-19,1,up 0.5,Castillo,Wood,,2:18,D,"41,609",1.15,+,
42,"Monday, May 13",boxscore,SEA,,KCR,W,6,2,,23-19,1,up 1.5,Kirby,Singer,Muñoz,2:32,N,"14,984",1.14,++,
43,"Tuesday, May 14",boxscore,SEA,,KCR,L,2,4,,23-20,1,up 1.5,Wacha,Gilbert,McArthur,2:31,N,"20,665",1.14,-,
44,"Wednesday, May 15",boxscore,SEA,,KCR,W,4,2,,24-20,1,up 1.5,Woo,Marsh,Muñoz,2:57,D,"22,233",1.09,+,
45,"Friday, May 17",boxscore,SEA,@,BAL,L,2,9,,24-21,1,up 1.5,Means,Miller,,2:31,N,"38,882",1.14,-,
46,"Saturday, May 18",boxscore,SEA,@,BAL,W,4,3,,25-21,1,up 1.5,Stanek,Cano,Muñoz,2:45,D,"19,286",1.1,+,
47,"Sunday, May 19",boxscore,SEA,@,BAL,L,3,6,,25-22,1,up 1.5,Burnes,Kirby,Kimbrel,2:27,D,"30,494",1.12,-,
48,"Monday, May 20",boxscore,SEA,@,NYY,W,5,4,,26-22,1,up 2.0,Bazardo,Holmes,Muñoz,2:34,N,"37,590",1.07,+,
49,"Tuesday, May 21",boxscore,SEA,@,NYY,W,6,3,,27-22,1,up 3.0,Woo,Schmidt,Muñoz,2:58,N,"37,257",1.14,++,
50,"Wednesday, May 22",boxscore,SEA,@,NYY,L,3,7,,27-23,1,up 3.0,Cortés,Miller,,2:43,N,"40,224",1.17,-,
51,"Thursday, May 23",boxscore,SEA,@,NYY,L,0,5,,27-24,1,up 3.0,Gil,Castillo,Holmes,2:43,D,"43,121",1.17,--,
52,"Friday, May 24",boxscore,SEA,@,WSN,L,1,6,,27-25,1,up 3.0,Gore,Kirby,,2:07,N,"23,789",1,---,
53,"Saturday, May 25",boxscore,SEA,@,WSN,L,1,3,,27-26,1,up 3.0,Floro,Speier,Finnegan,2:21,D,"30,791",0.94,----,
54,"Sunday, May 26",boxscore,SEA,@,WSN,W,9,5,,28-26,1,up 3.0,Voth,Floro,,2:35,D,"25,935",0.9,+,
55,"Monday, May 27",boxscore,SEA,,HOU,W,3,2,,29-26,1,up 3.5,Miller,Valdez,Muñoz,2:30,N,"23,814",1.13,++,
56,"Tuesday, May 28",boxscore,SEA,,HOU,W,4,2,,30-26,1,up 3.5,Saucedo,Pressly,Stanek,2:16,N,"17,701",1.12,+++,
57,"Wednesday, May 29",boxscore,SEA,,HOU,W-wo,2,1,10,31-26,1,up 3.5,Baumann,Scott,,2:40,N,"25,437",1.14,++++,
58,"Thursday, May 30",boxscore,SEA,,HOU,L,0,4,,31-27,1,up 3.0,Arrighetti,Gilbert,,2:23,D,"25,527",1.15,-,
59,"Friday, May 31",boxscore,SEA,,LAA,W,5,4,,32-27,1,up 4.0,Stanek,Moore,Muñoz,2:32,N,"40,001",1.05,+,
60,"Saturday, Jun 1",boxscore,SEA,,LAA,W,9,0,,33-27,1,up 4.0,Miller,Detmers,,2:47,D,"39,932",1.08,++,
61,"Sunday, Jun 2",boxscore,SEA,,LAA,W,5,1,,34-27,1,up 4.0,Castillo,Canning,,2:39,D,"35,990",1.05,+++,
62,"Tuesday, Jun 4",boxscore,SEA,@,OAK,W,4,3,,35-27,1,up 5.5,Kirby,Spence,Saucedo,2:48,N,"5,624",1.1,++++,
63,"Wednesday, Jun 5",boxscore,SEA,@,OAK,L,1,2,,35-28,1,up 4.5,Estes,Gilbert,Miller,2:14,N,"9,735",1.07,-,
64,"Thursday, Jun 6",boxscore,SEA,@,OAK,W,3,0,,36-28,1,up 5.0,Woo,Sears,Stanek,2:35,D,"6,571",1.05,+,
65,"Friday, Jun 7",boxscore,SEA,@,KCR,L-wo,9,10,,36-29,1,up 5.0,Anderson,Stanek,,2:53,N,"25,178",1.13,-,
66,"Saturday, Jun 8",boxscore,SEA,@,KCR,L,4,8,,36-30,1,up 5.0,Marsh,Castillo,,2:22,D,"18,351",1.16,--,
67,"Sunday, Jun 9",boxscore,SEA,@,KCR,W,6,5,10,37-30,1,up 5.0,Baumann,McArthur,Saucedo,3:05,D,"20,926",1.12,+,
68,"Monday, Jun 10",boxscore,SEA,,CHW,W-wo,8,4,,38-30,1,up 5.5,Stanek,Leasure,,2:41,N,"23,027",1.01,++,
69,"Tuesday, Jun 11",boxscore,SEA,,CHW,W,4,3,,39-30,1,up 6.5,Thornton,Brebbia,Stanek,2:32,N,"20,005",0.96,+++,
70,"Wednesday, Jun 12",boxscore,SEA,,CHW,W-wo,2,1,10,40-30,1,up 6.5,Thornton,Wilson,,2:33,N,"23,312",0.94,++++,
71,"Thursday, Jun 13",boxscore,SEA,,CHW,L,2,3,10,40-31,1,up 5.5,Kopech,Muñoz,Banks,2:28,N,"25,567",0.98,-,
72,"Friday, Jun 14",boxscore,SEA,,TEX,W,3,2,,41-31,1,up 6.5,Castillo,Heaney,Stanek,2:25,N,"41,814",1.26,+,
73,"Saturday, Jun 15",boxscore,SEA,,TEX,W,7,5,,42-31,1,up 7.5,Kirby,Eovaldi,Stanek,2:46,D,"43,448",1.2,++,
74,"Sunday, Jun 16",boxscore,SEA,,TEX,W,5,0,,43-31,1,up 8.5,Gilbert,Dunning,,2:18,D,"45,584",1.15,+++,
75,"Tuesday, Jun 18",boxscore,SEA,@,CLE,W,8,5,,44-31,1,up10.0,Miller,McKenzie,Muñoz,3:15,N,"25,453",1.22,++++,
76,"Wednesday, Jun 19",boxscore,SEA,@,CLE,L,0,8,,44-32,1,up 9.0,Bibee,Woo,,2:19,N,"26,107",1.19,-,
77,"Thursday, Jun 20",boxscore,SEA,@,CLE,L,3,6,,44-33,1,up 8.0,Allen,Castillo,Clase,2:26,D,"24,470",1.22,--,
78,"Friday, Jun 21",boxscore,SEA,@,MIA,L-wo,2,3,10,44-34,1,up 7.0,Bender,Voth,,2:29,N,"11,794",0.99,---,
79,"Saturday, Jun 22",boxscore,SEA,@,MIA,W,9,0,,45-34,1,up 7.0,Gilbert,Anderson,,2:24,D,"13,217",1,+,
80,"Sunday, Jun 23",boxscore,SEA,@,MIA,L,4,6,,45-35,1,up 6.0,Puk,Miller,Scott,2:33,D,"13,540",1.02,-,
81,"Monday, Jun 24",boxscore,SEA,@,TBR,L,3,4,,45-36,1,up 5.5,Maton,Voth,Fairbanks,3:00,N,"14,482",1.02,--,
82,"Tuesday, Jun 25",boxscore,SEA,@,TBR,L,3,11,,45-37,1,up 4.5,Cleavinger,Castillo,,2:42,N,"14,034",1.01,---,
83,"Wednesday, Jun 26",boxscore,SEA,@,TBR,W,5,2,,46-37,1,up 4.5,Kirby,Armstrong,Thornton,2:50,D,"18,286",1,+,
84,"Friday, Jun 28",boxscore,SEA,,MIN,W-wo,3,2,10,47-37,1,up 5.5,Stanek,Sands,,2:38,N,"44,924",1.07,++,
85,"Saturday, Jun 29",boxscore,SEA,,MIN,L,1,5,,47-38,1,up 4.5,López,Miller,,2:48,N,"35,551",1.07,-,
86,"Sunday, Jun 30",boxscore,SEA,,MIN,L,3,5,,47-39,1,up 3.5,Sands,Stanek,Duran,2:48,D,"33,367",1.08,--,
87,"Tuesday, Jul 2",boxscore,SEA,,BAL,L,0,2,,47-40,1,up 3.0,Rodriguez,Kirby,Kimbrel,2:39,N,"36,173",1.12,---,
88,"Wednesday, Jul 3",boxscore,SEA,,BAL,L,1,4,,47-41,1,up 2.0,Kremer,Gilbert,Kimbrel,2:26,N,"37,998",1.06,----,
89,"Thursday, Jul 4",boxscore,SEA,,BAL,W,7,3,,48-41,1,up 2.0,Stanek,Baker,,2:41,D,"32,347",1.03,+,
90,"Friday, Jul 5",boxscore,SEA,,TOR,W,2,1,,49-41,1,up 2.0,Castillo,Gausman,Muñoz,2:27,N,"34,493",1.02,++,
91,"Saturday, Jul 6",boxscore,SEA,,TOR,L,4,5,,49-42,1,up 2.0,Rodríguez,Hancock,Green,2:53,D,"38,264",1.09,-,
92,"Sunday, Jul 7",boxscore,SEA,,TOR,L,4,5,10,49-43,1,up 2.0,Green,Snider,Cabrera,3:22,D,"34,885",1.06,--,
93,"Tuesday, Jul 9",boxscore,SEA,@,SDP,W,8,3,,50-43,1,up 2.0,Gilbert,Mazur,,2:35,N,"43,123",1.01,+,
94,"Wednesday, Jul 10",boxscore,SEA,@,SDP,W,2,0,,51-43,1,up 2.0,Miller,King,Muñoz,2:38,D,"39,611",1.08,++,
95,"Thursday, Jul 11",boxscore,SEA,@,LAA,W,11,0,,52-43,1,up 2.0,Castillo,Kochanowicz,,2:30,N,"26,747",1.08,+++,
96,"Friday, Jul 12",boxscore,SEA,@,LAA,L-wo,5,6,10,52-44,1,up 1.0,Crouse,Voth,,2:48,N,"31,243",1.18,-,
97,"Saturday, Jul 13",boxscore,SEA,@,LAA,L,1,2,,52-45,1,up 1.0,Soriano,Kirby,Estévez,2:14,N,"43,273",1.21,--,
98,"Sunday, Jul 14",boxscore,SEA,@,LAA,L,2,3,,52-46,1,up 1.0,Crouse,Voth,Contreras,2:37,D,"26,015",1.14,---,
99,"Friday, Jul 19",boxscore,SEA,,HOU,L,0,3,,52-47,1,Tied,Brown,Castillo,Hader,2:17,N,"40,948",1.53,----,
100,"Saturday, Jul 20",boxscore,SEA,,HOU,L,2,4,,52-48,2,1,Scott,Stanek,Hader,2:44,N,"38,017",1.54,-----,
101,"Sunday, Jul 21",boxscore,SEA,,HOU,W,6,4,,53-48,1,Tied,Woo,Blanco,Muñoz,2:35,D,"35,038",1.54,+,
102,"Monday, Jul 22",boxscore,SEA,,LAA,L,1,3,,53-49,1,Tied,García,Thornton,Estévez,2:38,N,"22,528",1.14,-,
103,"Tuesday, Jul 23",boxscore,SEA,,LAA,L,1,5,,53-50,1,Tied,Soriano,Gilbert,,2:13,N,"26,496",1.12,--,
104,"Wednesday, Jul 24",boxscore,SEA,,LAA,L,1,2,,53-51,2,1,Crouse,Santos,Estévez,2:50,D,"39,953",1.07,---,
105,"Friday, Jul 26",boxscore,SEA,@,CHW,W,10,0,,54-51,2,1,Kirby,Thorpe,,2:27,N,"20,170",0.99,+,
106,"Saturday, Jul 27",boxscore,SEA,@,CHW,W,6,3,,55-51,2,1,Snider,Fedde,Muñoz,2:58,N,"21,037",1.04,++,
107,"Sunday, Jul 28",boxscore,SEA,@,CHW,W,6,3,,56-51,1,Tied,Miller,Crochet,Muñoz,2:32,D,"17,100",1.14,+++,
108,"Monday, Jul 29",boxscore,SEA,@,BOS,L,7,14,,56-52,1,Tied,Pivetta,Gilbert,,2:47,N,"35,007",1.24,-,
109,"Tuesday, Jul 30",boxscore,SEA,@,BOS,W,10,6,,57-52,1,up 1.0,Castillo,Paxton,,2:49,N,"36,592",1.18,+,
110,"Wednesday, Jul 31",boxscore,SEA,@,BOS,L-wo,2,3,10,57-53,1,Tied,Kelly,Díaz,,3:11,D,"34,643",1.16,-,
111,"Friday, Aug 2",boxscore,SEA,,PHI,W,10,2,,58-53,1,Tied,Woo,Phillips,,2:31,N,"40,739",1.04,+,
112,"Saturday, Aug 3",boxscore,SEA,,PHI,W-wo,6,5,10,59-53,1,up 1.0,Snider,Estévez,,3:17,N,"36,629",1.07,++,
113,"Sunday, Aug 4",boxscore,SEA,,PHI,L,0,6,,59-54,1,up 1.0,Wheeler,Gilbert,,2:35,D,"39,588",1.05,-,
114,"Tuesday, Aug 6",boxscore,SEA,,DET,L,2,4,,59-55,1,up 0.5,Montero,Castillo,Holton,2:30,N,"27,119",1.02,--,
115,"Wednesday, Aug 7",boxscore,SEA,,DET,L,2,6,,59-56,2,0.5,Skubal,Kirby,,2:33,N,"26,033",1.04,---,
116,"Thursday, Aug 8",boxscore,SEA,,DET,W-wo,4,3,,60-56,1,Tied,Chargois,Vest,,2:20,N,"27,927",1,+,
117,"Friday, Aug 9",boxscore,SEA,,NYM,W,6,0,,61-56,1,Tied,Miller,Quintana,,2:31,N,"34,889",1.05,++,
118,"Saturday, Aug 10",boxscore,SEA,,NYM,W,4,0,,62-56,1,Tied,Gilbert,Manaea,,2:28,N,"31,407",1.09,+++,
119,"Sunday, Aug 11",boxscore,SEA,,NYM,W,12,1,,63-56,1,Tied,Castillo,Severino,,2:41,D,"35,460",1.15,++++,
120,"Tuesday, Aug 13",boxscore,SEA,@,DET,L,1,15,,63-57,2,1.5,Skubal,Kirby,Wentz,2:28,N,"20,170",1.17,-,
121,"Wednesday, Aug 14",boxscore,SEA,@,DET,L-wo,2,3,10,63-58,2,2.5,Holton,Snider,,2:58,N,"18,714",1.14,--,
122,"Thursday, Aug 15",boxscore,SEA,@,DET,L,1,2,,63-59,2,3,Miller,Muñoz,Foley,2:24,D,"20,429",1.1,---,
123,"Friday, Aug 16",boxscore,SEA,@,PIT,L,3,5,,63-60,2,3,Skenes,Gilbert,Bednar,2:39,N,"27,058",1,----,
124,"Saturday, Aug 17",boxscore,SEA,@,PIT,L,2,7,,63-61,2,4,Falter,Castillo,Bednar,2:48,D,"23,326",0.91,-----,
125,"Sunday, Aug 18",boxscore,SEA,@,PIT,W,10,3,,64-61,2,4,Kirby,Woodford,,2:46,D,"24,903",0.79,+,
126,"Monday, Aug 19",boxscore,SEA,@,LAD,L,0,3,,64-62,2,5,Stone,Woo,Phillips,2:15,N,"51,348",0.84,-,
127,"Tuesday, Aug 20",boxscore,SEA,@,LAD,L,3,6,,64-63,2,5,Kelly,Muñoz,Hudson,3:11,N,"48,395",0.76,--,
128,"Wednesday, Aug 21",boxscore,SEA,@,LAD,L,4,8,,64-64,2,5,Flaherty,Gilbert,,2:47,N,"45,295",0.71,---,
129,"Friday, Aug 23",boxscore,SEA,,SFG,W-wo,6,5,10,65-64,2,4.5,Snider,Miller,,3:05,N,"38,762",0.57,+,
130,"Saturday, Aug 24",boxscore,SEA,,SFG,L,3,4,,65-65,2,4.5,Bivens,Kirby,Walker,3:04,D,"38,027",0.71,-,
131,"Sunday, Aug 25",boxscore,SEA,,SFG,W,4,3,,66-65,2,4.5,Woo,Hjelle,Muñoz,2:39,D,"35,062",0.73,+,
132,"Monday, Aug 26",boxscore,SEA,,TBR,W,5,1,,67-65,2,3.5,Miller,Pepiot,,2:10,N,"29,755",0.72,++,
133,"Tuesday, Aug 27",boxscore,SEA,,TBR,L,2,3,,67-66,2,3.5,Uceta,Chargois,Rodríguez,2:36,N,"26,153",0.86,-,
134,"Wednesday, Aug 28",boxscore,SEA,,TBR,W,6,2,,68-66,2,3.5,Castillo,Alexander,,2:18,D,"35,131",0.81,+,
135,"Friday, Aug 30",boxscore,SEA,@,LAA,W,9,5,,69-66,2,4,Kirby,Aldegheri,,2:54,N,"34,435",0.81,++,
136,"Saturday, Aug 31",boxscore,SEA,@,LAA,L-wo,4,5,,69-67,2,5,Joyce,Muñoz,,2:36,N,"34,253",0.9,-,
137,"Sunday, Sep 1",boxscore,SEA,@,LAA,L,2,3,,69-68,2,6,Dana,Miller,Joyce,2:36,D,"39,370",0.75,--,
138,"Monday, Sep 2",boxscore,SEA,@,OAK,L-wo,4,5,,69-69,2,6,Ferguson,Voth,,2:40,D,"12,167",0.56,---,
139,"Tuesday, Sep 3",boxscore,SEA,@,OAK,L-wo,2,3,,69-70,2,6.5,Harris,Thornton,,2:15,N,"3,924",0.52,----,
140,"Wednesday, Sep 4",boxscore,SEA,@,OAK,W,16,3,,70-70,2,5.5,Kirby,Sears,,2:47,N,"4,390",0.46,+,
141,"Thursday, Sep 5",boxscore,SEA,@,OAK,W,6,4,,71-70,2,4.5,Woo,Estes,,2:51,D,"5,581",0.62,++,
142,"Friday, Sep 6",boxscore,SEA,@,STL,W,6,1,,72-70,2,4.5,Miller,Fedde,,2:52,N,"37,476",0.79,+++,
143,"Saturday, Sep 7",boxscore,SEA,@,STL,L,0,2,,72-71,2,5.5,Kittredge,Gilbert,Helsley,2:25,N,"38,532",0.83,-,
144,"Sunday, Sep 8",boxscore,SEA,@,STL,W,10,4,,73-71,2,4.5,Thornton,Mikolas,,2:51,D,"41,302",0.63,+,
145,"Tuesday, Sep 10",boxscore,SEA,,SDP,L,3,7,,73-72,2,4.5,Darvish,Kirby,Suarez,2:57,N,"25,012",0.89,-,
146,"Wednesday, Sep 11",boxscore,SEA,,SDP,W,5,2,,74-72,2,3.5,Woo,King,Muñoz,2:32,N,"21,129",0.78,+,
147,"Thursday, Sep 12",boxscore,SEA,,TEX,L,4,5,,74-73,2,4.5,Festa,Snider,Yates,2:49,N,"22,212",0.99,-,
148,"Friday, Sep 13",boxscore,SEA,,TEX,W,5,4,,75-73,2,4.5,Chargois,Robertson,Muñoz,2:41,N,"32,996",0.7,+,
